from,to,mean_delta,n_veg_t1,n_veg_t2,lost_px,gained_px,lost_ha,gained_ha,net_ha,pct_loss,pct_gain,pct_net
2016_02,2016_03,-0.03146,123638,123384,634,380,228.2,136.8,-91.4,0.51,0.31,-0.21
2016_03,2017_02,0.0501,123902,141517,5424,23039,1952.6,8294.0,6341.4,4.38,18.59,14.22
2017_02,2017_03,-0.04079,108648,113550,3712,8614,1336.3,3101.0,1764.7,3.42,7.93,4.51
2017_03,2018_02,-0.00148,62329,62426,4546,4643,1636.6,1671.5,34.9,7.29,7.45,0.16
2018_02,2018_03,-0.04826,76270,78047,5144,6921,1851.8,2491.6,639.7,6.74,9.07,2.33
2018_03,2019_02,0.07423,59143,59135,4816,4808,1733.8,1730.9,-2.9,8.14,8.13,-0.01
2019_02,2019_03,-0.06298,18639,18607,46,14,16.6,5.0,-11.5,0.25,0.08,-0.17
2019_03,2020_02,0.06737,50654,51081,520,947,187.2,340.9,153.7,1.03,1.87,0.84
2020_02,2020_03,-0.02913,145251,141867,11960,8576,4305.6,3087.4,-1218.2,8.23,5.9,-2.33
2020_03,2021_02,0.06739,80432,83718,3373,6659,1214.3,2397.2,1183.0,4.19,8.28,4.09
2021_02,2021_03,-0.03861,76724,74841,4630,2747,1666.8,988.9,-677.9,6.03,3.58,-2.45
2021_03,2022_02,0.01086,118386,119445,4248,5307,1529.3,1910.5,381.2,3.59,4.48,0.89
2022_02,2022_03,-0.06541,62828,51179,14557,2908,5240.5,1046.9,-4193.6,23.17,4.63,-18.54
2022_03,2023_02,-0.15181,39435,8763,32574,1902,11726.6,684.7,-11041.9,82.6,4.82,-77.78
2023_02,2023_03,0.08487,460,2422,160,2122,57.6,763.9,706.3,34.78,461.3,426.52
2023_03,2024_02,0.0459,1888,1851,71,34,25.6,12.2,-13.3,3.76,1.8,-1.96
2024_02,2024_03,-0.07297,27069,20443,7366,740,2651.8,266.4,-2385.4,27.21,2.73,-24.48
2024_03,2025_02,0.14273,36686,67994,4822,36130,1735.9,13006.8,11270.9,13.14,98.48,85.34
2025_02,2025_03,-0.15049,58931,28298,32106,1473,11558.2,530.3,-11027.9,54.48,2.5,-51.98
